Unnamed: 0,movie_id,title,tags
2813,126319,Ernest & Celestine,"Celestine is a little mouse trying to avoid a dental career; Ernest is a big bear craving an artistic outlet. When Celestine meets Ernest, they overcome their natural enmity by forging a life of crime together. mouse musician friendship prejudice bear Anne-MarieLoop LambertWilson PaulineBrunner StéphaneAubier"
2877,10362,Two Lovers,A depressed man moves back in with his parents following a recent heartbreak. loveofone'slife neighbor JoaquinPhoenix GwynethPaltrow IsabellaRossellini JamesGray
4157,153795,Straight A's,"Pressured by his deceased mother's ghost to return home to the family he abandoned, a former addict grabs a bag of pills and a sack of marijuana and hits the road to Shreveport. brotherbrotherrelationship drugaddiction sister-in-law AnnaPaquin RyanPhillippe LukeWilson JamesCox"
2633,112430,The Company,"Real-life figures from the Cold War era mix with a fictional story based on a group of CIA operatives and their counterparts in the KGB, MI6, and the Mossad. miniseries ChrisO'Donnell AlfredMolina MichaelKeaton MikaelSalomon"
2119,8968,Boogeyman,"Every culture has one – the horrible monster fueling young children's nightmares. But for Tim, the Boogeyman still lives in his memories as a creature that devoured his father 16 years earlier. Is the Boogeyman real? Or did Tim make him up to explain why his father abandoned his family? nightmare hallucination childhoodtrauma break-up hometown psychotherapy EmilyDeschanel BarryWatson SkyeMcColeBartusiak StephenT.Kay"
2529,11153,National Lampoon's Vacation,"Clark Griswold is on a quest to take his family on a quest to Walley World theme park for a vacation, but things don't go exactly as planned. usa relatives familyvacation familyholiday duringcreditsstinger ChevyChase BeverlyD'Angelo ImogeneCoca HaroldRamis"
3937,17734,Thirteen Conversations About One Thing,"The lives of a lawyer, an actuary, a housecleaner, a professor, and the people around them intersect as they ponder order and happiness in the face of life's cold unpredictability. independentfilm womandirector JohnTurturro CleaDuVall MatthewMcConaughey JillSprecher"
1237,10391,Bless the Child,"When Maggie's sister Jenna saddles her with an autistic newborn named Cody she touches Maggie's heart and becomes the daughter she has always longed for. But six years later Jenna suddenly re-enters her life and, with her mysterious new husband, Eric Stark, abducts Cody. Despite the fact that Maggie has no legal rights to Cody, FBI agent John Travis, takes up her cause when he realizes that Cody shares the same birth date as several other recently missing children. sistersisterrelationship autism mephisto satanism ersatz KimBasinger AngelaBettis HollistonColeman ChuckRussell"
103,27022,The Sorcerer's Apprentice,"Balthazar Blake is a master sorcerer in modern-day Manhattan trying to defend the city from his arch-nemesis, Maxim Horvath. Balthazar can't do it alone, so he recruits Dave Stutler, a seemingly average guy who demonstrates hidden potential, as his reluctant protégé. The sorcerer gives his unwilling accomplice a crash course in the art and science of magic, and together, these unlikely partners work to stop the forces of darkness. witch fire wolf fountain magic book castle water apprentice training merlin love mission sorcerer dragon aftercreditsstinger apprendista morgana NicolasCage JayBaruchel MonicaBellucci JonTurteltaub"
2473,4638,Hot Fuzz,"Top London cop, PC Nicholas Angel is good. Too good. To stop the rest of his team from looking bad, he is reassigned to the quiet town of Sandford, paired with simple country cop, and everything seems quiet until two actors are found decapitated. It is addressed as an accident, but Angel isn't going to accept that, especially when more and more people turn up dead. village arrest police partner murder conspiracy gunfight policeforce cowboycostume accident SimonPegg NickFrost JimBroadbent EdgarWright"
3835,23330,The Ballad of Cable Hogue,"Double-crossed and left without water in the desert, Cable Hogue is saved when he finds a spring. It is in just the right spot for a much needed rest stop on the local stagecoach line, and Hogue uses this to his advantage. He builds a house and makes money off the stagecoach passengers. Hildy, a prostitute from the nearest town, moves in with him. Hogue has everything going his way until the advent of the automobile ends the era of the stagecoach. prostitute homelessperson stagecoach reverend waystation JasonRobards StellaStevens DavidWarner SamPeckinpah"
508,330,The Lost World: Jurassic Park,"Four years after Jurassic Park's genetically bred dinosaurs ran amok, multimillionaire John Hammond shocks chaos theorist Ian Malcolm by revealing that Hammond has been breeding more beasties at a secret location. Malcolm, his paleontologist ladylove and a wildlife videographer join an expedition to document the lethal lizards' natural behavior in this action-packed thriller. exoticisland dna paleontology tyrannosaurusrex velociraptor sandiego dinosaur jurassicpark animalhorror JeffGoldblum JulianneMoore PetePostlethwaite StevenSpielberg"
3261,9962,The Good Girl,A discount store clerk strikes up an affair with a stock boy who considers himself the incarnation of Holden Caulfield. suicide sex jealousy dream blackmail lie nudity motel marriage faith drug extramaritalaffair store JenniferAniston JakeGyllenhaal ZooeyDeschanel MiguelArteta
4744,473,Pi,The debut film from Darren Aronofsky in which a mathematical genius Maximilian Cohen discovers a link in the connection between numbers and reality and thus believes he can predict the future. hacker mathematician helix headache chaostheory migraine mathematics insanity genius SeanGullette MarkMargolis BenShenkman DarrenAronofsky
2591,13166,Freddy Got Fingered,"An unemployed cartoonist moves back in with his parents and younger brother Freddy. When his parents demand he leave, he begins to spread rumors that his father is sexually abusing Freddy. wheelchair slacker sausage TomGreen RipTorn MarisaCoughlan TomGreen"
865,11321,Seven Pounds,An IRS agent with a fateful secret embarks on an extraordinary journey of redemption by forever changing the lives of seven strangers. vegetarian taxcollector pianist blind organtransplant bloodtype WillSmith RosarioDawson SarahJaneMorris GabrieleMuccino
2311,244339,Out of Inferno,"On the hottest day in 50 years, a serious fire incident happened to a busy commercial tower, a gaggle of fire fighters with an indestructible enthusiasm are going to save lives. LauChing-Wan AngelicaLee ChenSicheng DannyPang"
908,37686,Super 8,"In 1979 Ohio, several youngsters are making a zombie movie with a Super-8 camera. In the midst of filming, the friends witness a horrifying train derailment and are lucky to escape with their lives. They soon discover that the catastrophe was no accident, as a series of unexplained events and disappearances soon follows. Deputy Jackson Lamb, the father of one of the kids, searches for the terrifying truth behind the crash. 1970s secret alien traincrash pistol firecracker duringcreditsstinger JoelCourtney ElleFanning RileyGriffiths J.J.Abrams"
